,column,value,Compound,Concentration (M)
407,GC,0.5346,GC,0.0
408,GC,0.572576,GC,0.0
409,GC,0.3828,GC,0.0
410,GC,0.379483,GC,0.0
411,GC,0.222376,GC,0.0
412,GC,0.214796,GC,0.0
413,GC,0.333142,GC,0.0
414,GC,0.714543,GC,0.0
415,GC,0.778041,GC,0.0
416,GC,0.837205,GC,0.0
417,GC,0.600126,GC,0.0
418,GC,0.59745,GC,0.0
419,GC,0.733853,GC,0.0
420,GC,1.500716,GC,0.0
421,GC,0.629658,GC,0.0
422,GC,0.597304,GC,0.0
423,GC,0.640711,GC,0.0
424,GC,0.50666,GC,0.0
425,GC,0.615181,GC,0.0
426,GC,0.279844,GC,0.0
427,GC,0.298817,GC,0.0
428,GC,0.271602,GC,0.0
429,GC,0.206749,GC,0.0
430,GC,0.225998,GC,0.0
431,GC,0.202454,GC,0.0
432,GC,1.168682,GC,0.0
433,GC,1.152114,GC,0.0
434,GC,1.368587,GC,0.0
435,GC,0.992465,GC,0.0
436,GC,1.362758,GC,0.0
437,GC,1.554029,GC,0.0
438,GC,1.322425,GC,0.0
439,GC,1.566181,GC,0.0
440,GC,1.349004,GC,0.0
441,GC,1.308676,GC,0.0
442,GC,1.464098,GC,0.0
443,GC,1.511952,GC,0.0
444,GC,1.22403,GC,0.0
445,GC,1.401322,GC,0.0
446,GC,1.448597,GC,0.0
447,GC,1.097652,GC,0.0
448,GC,1.256325,GC,0.0
449,GC,1.373965,GC,0.0
450,GC,1.054057,GC,0.0
451,GC,0.972093,GC,0.0
452,GC,1.510864,GC,0.0
453,GC,1.473791,GC,0.0
454,GC,1.436003,GC,0.0
455,GC,1.223483,GC,0.0
456,GC,1.496338,GC,0.0
457,GC,1.178126,GC,0.0
458,GC,0.894888,GC,0.0
459,GC,0.758766,GC,0.0
460,GC,0.728495,GC,0.0
461,GC,0.766261,GC,0.0
462,GC,0.457765,GC,0.0
463,GC,0.39888,GC,0.0
464,GC,0.407733,GC,0.0
465,GC,0.438225,GC,0.0
466,GC,0.436338,GC,0.0
467,GC,0.974124,GC,0.0
468,GC,0.948332,GC,0.0
469,GC,0.9972,GC,0.0
470,GC,0.898712,GC,0.0
471,GC,0.68408,GC,0.0
472,GC,0.727547,GC,0.0
473,GC,0.679352,GC,0.0
474,GC,0.609896,GC,0.0
475,GC,0.628911,GC,0.0
476,GC,0.687771,GC,0.0
477,GC,0.713408,GC,0.0
478,GC,0.557488,GC,0.0
479,GC,0.534602,GC,0.0
480,GC,0.976954,GC,0.0
481,GC,0.537324,GC,0.0
482,GC,0.5346,GC,0.0
483,GC,0.572576,GC,0.0
484,GC,0.3828,GC,0.0
485,GC,0.379483,GC,0.0
486,GC,0.222376,GC,0.0
487,GC,0.214796,GC,0.0
488,GC,0.333142,GC,0.0
489,GC,0.714543,GC,0.0
490,GC,0.778041,GC,0.0
491,GC,0.837205,GC,0.0
492,GC,0.600126,GC,0.0
493,GC,0.59745,GC,0.0
494,GC,0.733853,GC,0.0
495,GC,1.500716,GC,0.0
496,GC,0.629658,GC,0.0
497,GC,0.597304,GC,0.0
498,GC,0.640711,GC,0.0
499,GC,0.50666,GC,0.0
500,GC,0.615181,GC,0.0
501,GC,0.279844,GC,0.0
502,GC,0.298817,GC,0.0
503,GC,0.271602,GC,0.0
504,GC,0.206749,GC,0.0
505,GC,0.225998,GC,0.0
506,GC,0.202454,GC,0.0
507,GC,1.168682,GC,0.0
508,GC,1.152114,GC,0.0
509,GC,1.368587,GC,0.0
510,GC,0.992465,GC,0.0
511,GC,1.362758,GC,0.0
512,GC,1.554029,GC,0.0
513,GC,1.322425,GC,0.0
514,GC,1.566181,GC,0.0
515,GC,1.349004,GC,0.0
516,GC,1.308676,GC,0.0
517,GC,1.464098,GC,0.0
518,GC,1.511952,GC,0.0
519,GC,1.22403,GC,0.0
520,GC,1.401322,GC,0.0
521,GC,1.448597,GC,0.0
522,GC,1.097652,GC,0.0
523,GC,1.256325,GC,0.0
524,GC,1.373965,GC,0.0
525,GC,1.054057,GC,0.0
526,GC,0.972093,GC,0.0
527,GC,1.510864,GC,0.0
528,GC,1.473791,GC,0.0
529,GC,1.436003,GC,0.0
530,GC,1.223483,GC,0.0
531,GC,1.496338,GC,0.0
532,GC,1.178126,GC,0.0
533,GC,0.894888,GC,0.0
534,GC,0.758766,GC,0.0
535,GC,0.728495,GC,0.0
536,GC,0.766261,GC,0.0
537,GC,0.457765,GC,0.0
538,GC,0.39888,GC,0.0
539,GC,0.407733,GC,0.0
540,GC,0.438225,GC,0.0
541,GC,0.436338,GC,0.0
542,GC,0.974124,GC,0.0
543,GC,0.948332,GC,0.0
544,GC,0.9972,GC,0.0
545,GC,0.898712,GC,0.0
546,GC,0.68408,GC,0.0
547,GC,0.727547,GC,0.0
548,GC,0.679352,GC,0.0
549,GC,0.609896,GC,0.0
550,GC,0.628911,GC,0.0
551,GC,0.687771,GC,0.0
552,GC,0.713408,GC,0.0
553,GC,0.557488,GC,0.0
554,GC,0.534602,GC,0.0
555,GC,0.976954,GC,0.0
556,GC,0.537324,GC,0.0
557,GC,0.5346,GC,0.0
558,GC,0.572576,GC,0.0
559,GC,0.3828,GC,0.0
560,GC,0.379483,GC,0.0
561,GC,0.222376,GC,0.0
562,GC,0.214796,GC,0.0
563,GC,0.333142,GC,0.0
564,GC,0.714543,GC,0.0
565,GC,0.778041,GC,0.0
566,GC,0.837205,GC,0.0
567,GC,0.600126,GC,0.0
568,GC,0.59745,GC,0.0
569,GC,0.733853,GC,0.0
570,GC,1.500716,GC,0.0
571,GC,0.629658,GC,0.0
572,GC,0.597304,GC,0.0
573,GC,0.640711,GC,0.0
574,GC,0.50666,GC,0.0
575,GC,0.615181,GC,0.0
576,GC,0.279844,GC,0.0
577,GC,0.298817,GC,0.0
578,GC,0.271602,GC,0.0
579,GC,0.206749,GC,0.0
580,GC,0.225998,GC,0.0
581,GC,0.202454,GC,0.0
582,GC,1.168682,GC,0.0
583,GC,1.152114,GC,0.0
584,GC,1.368587,GC,0.0
585,GC,0.992465,GC,0.0
586,GC,1.362758,GC,0.0
587,GC,1.554029,GC,0.0
588,GC,1.322425,GC,0.0
589,GC,1.566181,GC,0.0
590,GC,1.349004,GC,0.0
591,GC,1.308676,GC,0.0
592,GC,1.464098,GC,0.0
593,GC,1.511952,GC,0.0
594,GC,1.22403,GC,0.0
595,GC,1.401322,GC,0.0
596,GC,1.448597,GC,0.0
597,GC,1.097652,GC,0.0
598,GC,1.256325,GC,0.0
599,GC,1.373965,GC,0.0
600,GC,1.054057,GC,0.0
601,GC,0.972093,GC,0.0
602,GC,1.510864,GC,0.0
603,GC,1.473791,GC,0.0
604,GC,1.436003,GC,0.0
605,GC,1.223483,GC,0.0
606,GC,1.496338,GC,0.0
607,GC,1.178126,GC,0.0
608,GC,0.894888,GC,0.0
609,GC,0.758766,GC,0.0
610,GC,0.728495,GC,0.0
611,GC,0.766261,GC,0.0
612,GC,0.457765,GC,0.0
613,GC,0.39888,GC,0.0
614,GC,0.407733,GC,0.0
615,GC,0.438225,GC,0.0
616,GC,0.436338,GC,0.0
617,GC,0.974124,GC,0.0
618,GC,0.948332,GC,0.0
619,GC,0.9972,GC,0.0
